PaperID,CageID,Cabinet,Block,Population,Country,Lat,Long,Photoperiod,Generation,NumPupae,BFDate,OvipositionDate,InitialEggs,Subsampled,H1IndDate,H1CtDate,H1Count,H2IndDate,H2CtDate,H2Count,EmbryoCtDate,EmbryoCount,TotalHatch,TotalLarvaeEmbryos,Notes1,Notes2,,,,,,,,,,,,,,,,
118-1,118,2,A,PBS,US,26.67,-80.2,13,F3,54,5/8/19,5/13/19,114,NA,5/27/19,5/29/19,84,6/8/19,6/9/19,1,6/10/19,0,85,85,NA,NA,,,,,,,,,,,,,,,,
119-1,119,2,A,SAG,JP,33.25,130.3,13,F4,76,5/8/19,5/13/19,245,NA,5/27/19,5/29/19,78,6/8/19,6/9/19,0,6/10/19,152,78,230,NA,NA,,,,,,,,,,,,,,,,
120-1,120,2,A,SEN,JP,38.29,140.9,13,F3,66,5/8/19,5/13/19,20,NA,5/27/19,5/29/19,0,6/8/19,6/9/19,0,6/10/19,14,0,14,NA,NA,,,,,,,,,,,,,,,,
121-1,121,2,A,WAV,US,37.05,-77.1,13,F3,65,5/8/19,5/13/19,229,NA,5/27/19,5/29/19,9,6/8/19,6/9/19,0,6/10/19,188,9,197,NA,NA,,,,,,,,,,,,,,,,
122-1,122,3,A,BER,US,39.77,-74.9,12.75,F3,64,5/6/19,5/13/19,474,NA,5/28/19,5/30/19,0,6/8/19,6/9/19,0,6/10/19,376,0,376,Big,white,moldy,patch,NA,,,,,,,,,,,,,
123-1,123,3,A,BRU,US,31.13,-81.5,12.75,F3,62,5/6/19,5/13/19,660,NA,5/28/19,5/30/19,253,6/8/19,6/9/19,27,6/10/19,206,280,486,Tried,to,count,bleach-hatched,larvae,as,embryos,but,some,were,hard,to,see,NA,,,,
124-1,124,3,A,KAG,JP,31.6,130.6,12.75,F4,74,5/6/19,5/13/19,265,NA,5/28/19,5/30/19,22,6/8/19,6/9/19,1,6/10/19,205,23,228,NA,NA,,,,,,,,,,,,,,,,
125-1,125,3,A,KAN,JP,36.56,136.7,12.75,F3,56,5/6/19,5/13/19,NA,NA,5/28/19,5/30/19,13,6/8/19,6/9/19,3,6/10/19,321,16,337,Highish,number,of,larvae,on,bleached,paper,-,counted,as,diapause,NA,,,,,,
126-1,126,3,A,KYO,JP,35,135.8,12.75,F4,66,5/6/19,5/13/19,365,NA,5/28/19,5/30/19,5,6/8/19,6/9/19,1,6/10/19,295,6,301,NA,NA,,,,,,,,,,,,,,,,
127-1,127,3,A,NVA,US,36.35,-78.4,12.75,F3,57,5/6/19,5/13/19,656,NA,5/28/19,5/30/19,23,6/8/19,6/9/19,1,6/10/19,546,24,570,NA,NA,,,,,,,,,,,,,,,,
128-1,128,3,A,OAK,US,28.85,-80.9,12.75,F3,69,5/6/19,5/13/19,544,NA,5/28/19,5/30/19,371,6/8/19,6/9/19,45,6/10/19,45,416,461,NA,NA,,,,,,,,,,,,,,,,
129-1,129,3,A,PBS,US,26.67,-80.2,12.75,F3,56,5/6/19,5/13/19,465,NA,5/28/19,5/30/19,408,6/8/19,6/9/19,0,6/10/19,1,408,409,NA,NA,,,,,,,,,,,,,,,,
130-1,130,3,A,SAG,JP,33.25,130.3,12.75,F4,69,5/6/19,5/13/19,480,NA,5/28/19,5/30/19,14,6/8/19,6/9/19,13,6/10/19,233,27,260,"Lots of bleach-hatched ones, hard to count",NA,,,,,,,,,,,,,,,,
131-1,131,3,A,SEN,JP,38.29,140.9,12.75,F3,62,5/6/19,5/13/19,461,NA,5/28/19,5/30/19,6,6/8/19,6/9/19,0,6/10/19,360,6,366,NA,NA,,,,,,,,,,,,,,,,
132-1,132,3,A,WAV,US,37.05,-77.1,12.75,F3,64,5/6/19,5/13/19,740,NA,5/28/19,5/30/19,15,6/8/19,6/9/19,1,6/10/19,560,16,576,Lots,hatched,in,paper?,Or,just,cracked,open,inviable,larvae?,NA,,,,,,,
133-1,133,4,A,BER,US,39.77,-74.9,14.5,F3,63,5/6/19,5/13/19,273,NA,5/27/19,5/29/19,167,6/8/19,6/9/19,0,6/10/19,0,167,167,NA,NA,,,,,,,,,,,,,,,,
134-1,134,4,A,BRU,US,31.13,-81.5,14.5,F3,62,5/6/19,5/13/19,183,NA,5/27/19,5/29/19,136,6/8/19,6/9/19,0,6/10/19,0,136,136,NA,NA,,,,,,,,,,,,,,,,
135-1,135,4,A,KAG,JP,31.6,130.6,14.5,F4,73,5/6/19,5/13/19,799,NA,5/27/19,5/29/19,666,6/8/19,6/9/19,5,6/10/19,13,671,684,NA,NA,,,,,,,,,,,,,,,,
136-1,136,4,A,KAN,JP,36.56,136.7,14.5,F3,56,5/6/19,5/13/19,373,NA,5/27/19,5/29/19,316,6/8/19,6/9/19,0,6/10/19,4,316,320,NA,NA,,,,,,,,,,,,,,,,
137-1,137,4,A,KYO,JP,35,135.8,14.5,F4,66,5/6/19,5/13/19,410,NA,5/27/19,5/29/19,248,6/8/19,6/9/19,0,6/10/19,0,248,248,NA,NA,,,,,,,,,,,,,,,,
138-1,138,4,A,NVA,US,36.35,-78.4,14.5,F3,56,5/6/19,5/13/19,236,NA,5/27/19,5/29/19,70,6/8/19,6/9/19,1,6/10/19,0,71,71,NA,NA,,,,,,,,,,,,,,,,
139-1,139,4,A,OAK,US,28.85,-80.9,14.5,F3,72,5/6/19,5/13/19,941,NA,5/27/19,5/29/19,651,6/8/19,6/9/19,0,6/10/19,0,651,651,NA,NA,,,,,,,,,,,,,,,,
140-1,140,4,A,PBS,US,26.67,-80.2,14.5,F3,56,5/6/19,5/13/19,237,NA,5/27/19,5/29/19,152,6/8/19,6/9/19,28,6/10/19,5,180,185,NA,NA,,,,,,,,,,,,,,,,
141-1,141,4,A,SAG,JP,33.25,130.3,14.5,F4,78,5/6/19,5/13/19,728,NA,5/27/19,5/29/19,494,6/8/19,6/9/19,1,6/10/19,2,495,497,NA,NA,,,,,,,,,,,,,,,,
142-1,142,4,A,SEN,JP,38.29,140.9,14.5,F3,62,5/6/19,5/13/19,677,NA,5/27/19,5/29/19,303,6/8/19,6/9/19,0,6/10/19,22,303,325,NA,NA,,,,,,,,,,,,,,,,
143-1,143,4,A,WAV,US,37.05,-77.1,14.5,F3,67,5/6/19,5/13/19,472,NA,5/27/19,5/29/19,300,6/8/19,6/9/19,0,6/10/19,1,300,301,NA,NA,,,,,,,,,,,,,,,,
144-1,144,5,A,BER,US,39.77,-74.9,13.25,F3,66,5/6/19,5/13/19,708,NA,5/28/19,5/30/19,121,6/8/19,6/9/19,0,6/10/19,492,121,613,NA,NA,,,,,,,,,,,,,,,,
145-1,145,5,A,BRU,US,31.13,-81.5,13.25,F3,65,5/6/19,5/13/19,490,NA,5/28/19,5/30/19,358,6/8/19,6/9/19,0,6/10/19,7,358,365,NA,NA,,,,,,,,,,,,,,,,
146-1,146,5,A,KAG,JP,31.6,130.6,13.25,F4,72,5/6/19,5/13/19,552,NA,5/28/19,5/30/19,99,6/8/19,6/9/19,2,6/10/19,367,101,468,NA,NA,,,,,,,,,,,,,,,,
147-1,147,5,A,KAN,JP,36.56,136.7,13.25,F3,53,5/6/19,5/13/19,483,NA,5/28/19,5/30/19,115,6/8/19,6/9/19,2,6/10/19,268,117,385,NA,NA,,,,,,,,,,,,,,,,
148-1,148,5,A,KYO,JP,35,135.8,13.25,F4,63,5/6/19,5/13/19,515,NA,5/28/19,5/30/19,79,6/8/19,6/9/19,0,6/10/19,421,79,500,NA,NA,,,,,,,,,,,,,,,,
149-1,149,5,A,NVA,US,36.35,-78.4,13.25,F3,56,5/6/19,5/13/19,530,NA,5/28/19,5/30/19,43,6/8/19,6/9/19,4,6/10/19,415,47,462,NA,NA,,,,,,,,,,,,,,,,
150-1,150,5,A,OAK,US,28.85,-80.9,13.25,F3,69,5/6/19,5/13/19,376,NA,5/28/19,5/30/19,256,6/8/19,6/9/19,0,6/10/19,4,256,260,NA,NA,,,,,,,,,,,,,,,,
151-1,151,5,A,PBS,US,26.67,-80.2,13.25,F3,56,5/6/19,5/13/19,286,NA,5/28/19,5/30/19,187,6/8/19,6/9/19,0,6/10/19,2,187,189,NA,NA,,,,,,,,,,,,,,,,
152-1,152,5,A,SAG,JP,33.25,130.3,13.25,F4,76,5/6/19,5/13/19,851,NA,5/28/19,5/30/19,337,6/8/19,6/9/19,14,6/10/19,348,351,699,NA,NA,,,,,,,,,,,,,,,,
153-1,153,5,A,SEN,JP,38.29,140.9,13.25,F3,65,5/6/19,5/13/19,392,NA,5/28/19,5/30/19,24,6/8/19,6/9/19,1,6/10/19,317,25,342,NA,NA,,,,,,,,,,,,,,,,
154-1,154,5,A,WAV,US,37.05,-77.1,13.25,F3,69,5/6/19,5/13/19,662,NA,5/28/19,5/30/19,112,6/8/19,6/9/19,5,6/10/19,508,117,625,NA,NA,,,,,,,,,,,,,,,,
155-1,155,6,A,BER,US,39.77,-74.9,12.5,F3,63,5/7/19,5/13/19,486,NA,5/27/19,5/29/19,5,6/8/19,6/9/19,1,6/10/19,412,6,418,NA,NA,,,,,,,,,,,,,,,,
156-1,156,6,A,BRU,US,31.13,-81.5,12.5,F3,62,5/7/19,5/13/19,336,NA,5/27/19,5/29/19,168,6/8/19,6/9/19,0,6/10/19,115,168,283,NA,NA,,,,,,,,,,,,,,,,
157-1,157,6,A,KAG,JP,31.6,130.6,12.5,F4,72,5/7/19,5/13/19,298,NA,5/27/19,5/29/19,29,6/8/19,6/9/19,0,6/10/19,228,29,257,NA,NA,,,,,,,,,,,,,,,,
158-1,158,6,A,KAN,JP,36.56,136.7,12.5,F3,57,5/7/19,5/13/19,433,NA,5/27/19,5/29/19,2,6/8/19,6/9/19,0,6/10/19,392,2,394,NA,NA,,,,,,,,,,,,,,,,
159-1,159,6,A,KYO,JP,35,135.8,12.5,F4,65,5/7/19,5/13/19,295,NA,5/27/19,5/29/19,17,6/8/19,6/9/19,0,6/10/19,236,17,253,NA,NA,,,,,,,,,,,,,,,,
160-1,160,6,A,NVA,US,36.35,-78.4,12.5,F3,57,5/7/19,5/13/19,495,NA,5/27/19,5/29/19,9,6/8/19,6/9/19,3,6/10/19,400,12,412,NA,NA,,,,,,,,,,,,,,,,
161-1,161,6,A,OAK,US,28.85,-80.9,12.5,F3,69,5/7/19,5/13/19,598,NA,5/27/19,5/29/19,329,6/8/19,6/9/19,52,6/10/19,99,381,480,NA,NA,,,,,,,,,,,,,,,,
162-1,162,6,A,PBS,US,26.67,-80.2,12.5,F3,53,5/7/19,5/13/19,614,NA,5/27/19,5/29/19,503,6/8/19,6/9/19,24,6/10/19,22,527,549,NA,NA,,,,,,,,,,,,,,,,
163-1,163,6,A,SAG,JP,33.25,130.3,12.5,F4,76,5/7/19,5/13/19,403,NA,5/27/19,5/29/19,27,6/8/19,6/9/19,1,6/10/19,324,28,352,NA,NA,,,,,,,,,,,,,,,,
164-1,164,6,A,SEN,JP,38.29,140.9,12.5,F3,66,5/7/19,5/13/19,214,NA,5/27/19,5/29/19,3,6/8/19,6/9/19,1,6/10/19,154,4,158,NA,NA,,,,,,,,,,,,,,,,
165-1,165,6,A,WAV,US,37.05,-77.1,12.5,F3,64,5/7/19,5/13/19,518,NA,5/27/19,5/29/19,10,6/8/19,6/9/19,0,6/10/19,456,10,466,NA,NA,,,,,,,,,,,,,,,,
166-1,166,7,A,BER,US,39.77,-74.9,14.25,F3,64,5/6/19,5/13/19,344,NA,5/28/19,5/30/19,159,6/8/19,6/9/19,5,6/10/19,29,164,193,NA,NA,,,,,,,,,,,,,,,,
167-1,167,7,A,BRU,US,31.13,-81.5,14.25,F3,64,5/6/19,5/13/19,331,NA,5/28/19,5/30/19,254,6/8/19,6/9/19,0,6/10/19,2,254,256,lots,of,flat+hatched,in,initial,count,NA,,,,,,,,,,,
168-1,168,7,A,KAG,JP,31.6,130.6,14.25,F4,73,5/6/19,5/13/19,486,NA,5/28/19,5/30/19,321,6/8/19,6/9/19,25,6/10/19,0,346,346,NA,NA,,,,,,,,,,,,,,,,
169-1,169,7,A,KAN,JP,36.56,136.7,14.25,F3,55,5/6/19,5/13/19,320,NA,5/28/19,5/30/19,188,6/8/19,6/9/19,0,6/10/19,6,188,194,NA,NA,,,,,,,,,,,,,,,,
170-1,170,7,A,KYO,JP,35,135.8,14.25,F4,66,5/6/19,5/13/19,718,NA,5/28/19,5/30/19,599,6/8/19,6/9/19,0,6/10/19,3,599,602,NA,NA,,,,,,,,,,,,,,,,
171-1,171,7,A,NVA,US,36.35,-78.4,14.25,F3,57,5/6/19,5/13/19,313,NA,5/28/19,5/30/19,262,6/8/19,6/9/19,1,6/10/19,0,263,263,NA,NA,,,,,,,,,,,,,,,,
172-1,172,7,A,OAK,US,28.85,-80.9,14.25,F3,71,5/6/19,5/13/19,469,NA,5/28/19,5/30/19,393,6/8/19,6/9/19,0,6/10/19,0,393,393,NA,NA,,,,,,,,,,,,,,,,
173-1,173,7,A,PBS,US,26.67,-80.2,14.25,F3,57,5/6/19,5/13/19,321,NA,5/28/19,5/30/19,242,6/8/19,6/9/19,18,6/10/19,0,260,260,NA,NA,,,,,,,,,,,,,,,,
174-1,174,7,A,SAG,JP,33.25,130.3,14.25,F4,76,5/6/19,5/13/19,843,NA,5/28/19,5/30/19,558,6/8/19,6/9/19,0,6/10/19,2,558,560,NA,NA,,,,,,,,,,,,,,,,
175-1,175,7,A,SEN,JP,38.29,140.9,14.25,F3,65,5/6/19,5/13/19,342,NA,5/28/19,5/30/19,123,6/8/19,6/9/19,1,6/10/19,25,124,149,NA,NA,,,,,,,,,,,,,,,,
176-1,176,7,A,WAV,US,37.05,-77.1,14.25,F3,64,5/6/19,5/13/19,425,NA,5/28/19,5/30/19,354,6/8/19,6/9/19,1,6/10/19,1,355,356,NA,NA,,,,,,,,,,,,,,,,
177-1,177,8,A,BER,US,39.77,-74.9,13.5,F3,65,5/8/19,5/13/19,83,NA,5/27/19,5/29/19,13,6/8/19,6/9/19,0,6/10/19,37,13,50,NA,NA,,,,,,,,,,,,,,,,
178-1,178,8,A,BRU,US,31.13,-81.5,13.5,F3,66,5/8/19,5/13/19,297,NA,5/27/19,5/29/19,173,6/8/19,6/9/19,0,6/10/19,0,173,173,NA,NA,,,,,,,,,,,,,,,,
179-1,179,8,A,KAG,JP,31.6,130.6,13.5,F4,71,5/8/19,5/13/19,275,NA,5/27/19,5/29/19,115,6/8/19,6/9/19,2,6/10/19,91,117,208,NA,NA,,,,,,,,,,,,,,,,
180-1,180,8,A,KAN,JP,36.56,136.7,13.5,F3,54,5/8/19,5/13/19,67,NA,5/27/19,5/29/19,18,6/8/19,6/9/19,0,6/10/19,31,18,49,NA,NA,,,,,,,,,,,,,,,,
181-1,181,8,A,KYO,JP,35,135.8,13.5,F4,63,5/8/19,5/13/19,171,NA,5/27/19,5/29/19,75,6/8/19,6/9/19,7,6/10/19,55,82,137,NA,NA,,,,,,,,,,,,,,,,
182-1,182,8,A,NVA,US,36.35,-78.4,13.5,F3,54,5/8/19,5/13/19,123,NA,5/27/19,5/29/19,69,6/8/19,6/9/19,0,6/10/19,12,69,81,NA,NA,,,,,,,,,,,,,,,,
183-1,183,8,A,OAK,US,28.85,-80.9,13.5,F3,68,5/8/19,5/13/19,369,NA,5/27/19,5/29/19,289,6/8/19,6/9/19,0,6/10/19,1,289,290,NA,NA,,,,,,,,,,,,,,,,
184-1,184,8,A,PBS,US,26.67,-80.2,13.5,F3,54,5/8/19,5/13/19,303,NA,5/27/19,5/29/19,228,6/8/19,6/9/19,0,6/10/19,3,228,231,NA,NA,,,,,,,,,,,,,,,,
185-1,185,8,A,SAG,JP,33.25,130.3,13.5,F4,76,5/8/19,5/13/19,282,NA,5/27/19,5/29/19,137,6/8/19,6/9/19,0,6/10/19,102,137,239,NA,NA,,,,,,,,,,,,,,,,
186-1,186,8,A,SEN,JP,38.29,140.9,13.5,F3,65,5/8/19,5/13/19,16,NA,5/27/19,5/29/19,1,6/8/19,6/9/19,0,6/10/19,11,1,12,NA,NA,,,,,,,,,,,,,,,,
187-1,187,8,A,WAV,US,37.05,-77.1,13.5,F3,64,5/8/19,5/13/19,136,NA,5/27/19,5/29/19,12,6/8/19,6/9/19,1,6/10/19,70,13,83,NA,NA,,,,,,,,,,,,,,,,
188-1,188,9,A,BER,US,39.77,-74.9,12,F3,66,5/8/19,5/13/19,28,NA,5/28/19,5/30/19,0,6/8/19,6/9/19,0,6/10/19,11,0,11,NA,NA,,,,,,,,,,,,,,,,
189-1,189,9,A,BRU,US,31.13,-81.5,12,F3,63,5/8/19,5/13/19,252,NA,5/28/19,5/30/19,34,6/8/19,6/9/19,0,6/10/19,194,34,228,NA,NA,,,,,,,,,,,,,,,,
190-1,190,9,A,KAG,JP,31.6,130.6,12,F4,73,5/8/19,5/13/19,104,NA,5/28/19,5/30/19,5,6/8/19,6/9/19,0,6/10/19,91,5,96,NA,NA,,,,,,,,,,,,,,,,
191-1,191,9,A,KAN,JP,36.56,136.7,12,F3,57,5/8/19,5/13/19,24,NA,5/28/19,5/30/19,0,6/8/19,6/9/19,0,6/10/19,15,0,15,NA,NA,,,,,,,,,,,,,,,,
192-1,192,9,A,KYO,JP,35,135.8,12,F4,65,5/8/19,5/13/19,189,NA,5/28/19,5/30/19,8,6/8/19,6/9/19,7,6/10/19,158,15,173,NA,NA,,,,,,,,,,,,,,,,
193-1,193,9,A,NVA,US,36.35,-78.4,12,F3,57,5/8/19,5/13/19,145,NA,5/28/19,5/30/19,0,6/8/19,6/9/19,0,6/10/19,97,0,97,NA,NA,,,,,,,,,,,,,,,,
194-1,194,9,A,OAK,US,28.85,-80.9,12,F3,68,5/8/19,5/13/19,357,NA,5/28/19,5/30/19,268,6/8/19,6/9/19,15,6/10/19,41,283,324,NA,NA,,,,,,,,,,,,,,,,
195-1,195,9,A,PBS,US,26.67,-80.2,12,F3,56,5/8/19,5/13/19,190,NA,5/28/19,5/30/19,108,6/8/19,6/9/19,30,6/10/19,25,138,163,NA,NA,,,,,,,,,,,,,,,,
196-1,196,9,A,SAG,JP,33.25,130.3,12,F4,77,5/8/19,5/13/19,188,NA,5/28/19,5/30/19,15,6/8/19,6/9/19,2,6/10/19,153,17,170,NA,NA,,,,,,,,,,,,,,,,
197-1,197,9,A,SEN,JP,38.29,140.9,12,F3,66,5/8/19,5/13/19,13,NA,5/28/19,5/30/19,0,6/8/19,6/9/19,0,6/10/19,5,0,5,NA,NA,,,,,,,,,,,,,,,,
198-1,198,9,A,WAV,US,37.05,-77.1,12,F3,64,5/8/19,5/13/19,107,NA,5/28/19,5/30/19,0,6/8/19,6/9/19,0,6/10/19,73,0,73,NA,NA,,,,,,,,,,,,,,,,
199-1,199,10,A,BER,US,39.77,-74.9,14,F3,64,5/7/19,5/13/19,204,NA,5/27/19,5/29/19,110,6/8/19,6/9/19,1,6/10/19,31,111,142,NA,NA,,,,,,,,,,,,,,,,
200-1,200,10,A,BRU,US,31.13,-81.5,14,F3,63,5/7/19,5/13/19,407,NA,5/27/19,5/29/19,317,6/8/19,6/9/19,0,6/10/19,2,317,319,NA,NA,,,,,,,,,,,,,,,,
201-1,201,10,A,KAG,JP,31.6,130.6,14,F4,73,5/7/19,5/13/19,937,NA,5/27/19,5/29/19,642,6/8/19,6/9/19,21,6/10/19,57,663,720,NA,NA,,,,,,,,,,,,,,,,
202-1,202,10,A,KAN,JP,36.56,136.7,14,F3,59,5/7/19,5/13/19,351,NA,5/27/19,5/29/19,347,6/8/19,6/9/19,0,6/10/19,87,347,434,NA,NA,,,,,,,,,,,,,,,,
203-1,203,10,A,KYO,JP,35,135.8,14,F4,66,5/7/19,5/13/19,562,NA,5/27/19,5/29/19,318,6/8/19,6/9/19,0,6/10/19,4,318,322,NA,NA,,,,,,,,,,,,,,,,
204-1,204,10,A,NVA,US,36.35,-78.4,14,F3,56,5/7/19,5/13/19,354,NA,5/27/19,5/29/19,201,6/8/19,6/9/19,2,6/10/19,4,203,207,many,unembryonated,NA,,,,,,,,,,,,,,,
205-1,205,10,A,OAK,US,28.85,-80.9,14,F3,69,5/7/19,5/13/19,689,NA,5/27/19,5/29/19,383,6/8/19,6/9/19,0,6/10/19,2,383,385,many,unembryonated,NA,,,,,,,,,,,,,,,
206-1,206,10,A,PBS,US,26.67,-80.2,14,F3,53,5/7/19,5/13/19,239,NA,5/27/19,5/29/19,152,6/8/19,6/9/19,2,6/10/19,0,154,154,some,unembryonated,NA,,,,,,,,,,,,,,,
207-1,207,10,A,SAG,JP,33.25,130.3,14,F4,77,5/7/19,5/13/19,788,NA,5/27/19,5/29/19,449,6/8/19,6/9/19,0,6/10/19,21,449,470,NA,NA,,,,,,,,,,,,,,,,
208-1,208,10,A,SEN,JP,38.29,140.9,14,F3,66,5/7/19,5/13/19,668,NA,5/27/19,5/29/19,180,6/8/19,6/9/19,10,6/10/19,298,190,488,NA,NA,,,,,,,,,,,,,,,,
209-1,209,10,A,WAV,US,37.05,-77.1,14,F3,64,5/7/19,5/13/19,735,NA,5/27/19,5/29/19,563,6/8/19,6/9/19,0,6/10/19,8,563,571,NA,NA,,,,,,,,,,,,,,,,
210-1,210,11,A,BER,US,39.77,-74.9,13.75,F3,65,5/7/19,5/13/19,378,NA,5/28/19,5/30/19,224,6/8/19,6/9/19,1,6/10/19,56,225,281,NA,NA,,,,,,,,,,,,,,,,
211-1,211,11,A,BRU,US,31.13,-81.5,13.75,F3,66,5/7/19,5/13/19,448,NA,5/28/19,5/30/19,360,6/8/19,6/9/19,0,6/10/19,3,360,363,many,unembryonated,NA,,,,,,,,,,,,,,,
212-1,212,11,A,KAG,JP,31.6,130.6,13.75,F4,72,5/7/19,5/13/19,538,NA,5/28/19,5/30/19,382,6/8/19,6/9/19,0,6/10/19,9,382,391,NA,NA,,,,,,,,,,,,,,,,
213-1,213,11,A,KAN,JP,36.56,136.7,13.75,F3,54,5/7/19,5/13/19,491,NA,5/28/19,5/30/19,253,6/8/19,6/9/19,2,6/10/19,150,255,405,NA,NA,,,,,,,,,,,,,,,,
214-1,214,11,A,KYO,JP,35,135.8,13.75,F4,64,5/7/19,5/13/19,605,NA,5/28/19,5/30/19,361,6/8/19,6/9/19,27,6/10/19,35,388,423,NA,NA,,,,,,,,,,,,,,,,
215-1,215,11,A,NVA,US,36.35,-78.4,13.75,F3,57,5/7/19,5/13/19,333,NA,5/28/19,5/30/19,190,6/8/19,6/9/19,2,6/10/19,85,192,277,NA,NA,,,,,,,,,,,,,,,,
216-1,216,11,A,OAK,US,28.85,-80.9,13.75,F3,69,5/7/19,5/13/19,374,NA,5/28/19,5/30/19,320,6/8/19,6/9/19,4,6/10/19,2,324,326,NA,NA,,,,,,,,,,,,,,,,
217-1,217,11,A,PBS,US,26.67,-80.2,13.75,F3,57,5/7/19,5/13/19,370,NA,5/28/19,5/30/19,294,6/8/19,6/9/19,0,6/10/19,1,294,295,NA,NA,,,,,,,,,,,,,,,,
218-1,218,11,A,SAG,JP,33.25,130.3,13.75,F4,77,5/7/19,5/13/19,517,NA,5/28/19,5/30/19,424,6/8/19,6/9/19,3,6/10/19,10,427,437,NA,NA,,,,,,,,,,,,,,,,
219-1,219,11,A,SEN,JP,38.29,140.9,13.75,F3,66,5/7/19,5/13/19,268,NA,5/28/19,5/30/19,62,6/8/19,6/9/19,0,6/10/19,121,62,183,NA,NA,,,,,,,,,,,,,,,,
